Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Fulib;scale_assay;1;0;2;Update;Memory;10485760
Fulib;scale_assay;1;0;3;Update;Time;46900
Fulib;scale_assay;1;0;3;Update;Memory;10485760
Fulib;scale_assay;1;0;4;Update;Time;104900
Fulib;scale_assay;1;0;4;Update;Memory;10485760
Fulib;scale_assay;1;0;5;Update;Time;99800
Fulib;scale_assay;1;0;5;Update;Memory;10485760
Fulib;scale_assay;1;0;6;Update;Time;38000
Fulib;scale_assay;1;0;6;Update;Memory;10485760
Fulib;scale_assay;1;0;7;Update;Time;95200
Fulib;scale_assay;1;0;7;Update;Memory;10485760
Fulib;scale_assay;1;0;8;Update;Time;103400
Fulib;scale_assay;1;0;8;Update;Memory;10485760
Fulib;scale_assay;1;0;9;Update;Time;37700
Fulib;scale_assay;1;0;9;Update;Memory;10485760
Fulib;scale_assay;2;0;0;Load;Time;1570000
Fulib;scale_assay;2;0;0;Load;Memory;10485760
Fulib;scale_assay;2;0;0;Initial;Time;477600
Fulib;scale_assay;2;0;0;Initial;Memory;10485760
Fulib;scale_assay;2;0;1;Update;Time;171700
Fulib;scale_assay;2;0;1;Update;Memory;10485760
Fulib;scale_assay;2;0;2;Update;Time;203900
Fulib;scale_assay;2;0;2;Update;Memory;10485760
Fulib;scale_assay;2;0;3;Update;Time;62700
Fulib;scale_assay;2;0;3;Update;Memory;10485760
Fulib;scale_assay;2;0;4;Update;Time;125600
Fulib;scale_assay;2;0;4;Update;Memory;10485760
Fulib;scale_assay;2;0;5;Update;Time;239300
Fulib;scale_assay;2;0;5;Update;Memory;10485760
Fulib;scale_assay;2;0;6;Update;Time;51200
Fulib;scale_assay;2;0;6;Update;Memory;10485760
Fulib;scale_assay;2;0;7;Update;Time;135700
Fulib;scale_assay;2;0;7;Update;Memory;10485760
Fulib;scale_assay;2;0;8;Update;Time;122500
Fulib;scale_assay;2;0;8;Update;Memory;10485760
Fulib;scale_assay;2;0;9;Update;Time;125900
Fulib;scale_assay;2;0;9;Update;Memory;10485760
Fulib;scale_assay;2;0;10;Update;Time;116800
Fulib;scale_assay;2;0;10;Update;Memory;10485760
Fulib;scale_assay;2;0;11;Update;Time;45800
Fulib;scale_assay;2;0;11;Update;Memory;10485760
Fulib;scale_assay;2;0;12;Update;Time;118300
Fulib;scale_assay;2;0;12;Update;Memory;10485760
Fulib;scale_assay;2;0;13;Update;Time;148600
Fulib;scale_assay;2;0;13;Update;Memory;10485760
Fulib;scale_assay;2;0;14;Update;Time;44500
Fulib;scale_assay;2;0;14;Update;Memory;10485760
Fulib;scale_assay;2;0;15;Update;Time;135600
Fulib;scale_assay;2;0;15;Update;Memory;10485760
Fulib;scale_assay;2;0;16;Update;Time;113500
Fulib;scale_assay;2;0;16;Update;Memory;10485760
Fulib;scale_assay;2;0;17;Update;Time;69900
Fulib;scale_assay;2;0;17;Update;Memory;10485760
Fulib;scale_assay;4;0;0;Load;Time;1528400
Fulib;scale_assay;4;0;0;Load;Memory;10485760
Fulib;scale_assay;4;0;0;Initial;Time;452500
Fulib;scale_assay;4;0;0;Initial;Memory;10485760
Fulib;scale_assay;4;0;1;Update;Time;221600
Fulib;scale_assay;4;0;1;Update;Memory;10485760
Fulib;scale_assay;4;0;2;Update;Time;212100
Fulib;scale_assay;4;0;2;Update;Memory;10485760
Fulib;scale_assay;4;0;3;Update;Time;229200
Fulib;scale_assay;4;0;3;Update;Memory;14680064
Fulib;scale_assay;4;0;4;Update;Time;194500
Fulib;scale_assay;4;0;4;Update;Memory;14680064
Fulib;scale_assay;4;0;5;Update;Time;175600
Fulib;scale_assay;4;0;5;Update;Memory;14680064
Fulib;scale_assay;4;0;6;Update;Time;72700
Fulib;scale_assay;4;0;6;Update;Memory;14680064
Fulib;scale_assay;4;0;7;Update;Time;263300
Fulib;scale_assay;4;0;7;Update;Memory;14680064
Fulib;scale_assay;4;0;8;Update;Time;169700
Fulib;scale_assay;4;0;8;Update;Memory;14680064
