Tool;Scenario;Model;RunIndex;Iteration;PhaseName;MetricName;MetricValue
Reference;scale_samples;64;0;10;Update;Time;76800
Reference;scale_samples;64;0;10;Update;Memory;45404160
Reference;scale_samples;64;0;11;Update;Time;75900
Reference;scale_samples;64;0;11;Update;Memory;45404160
Reference;scale_samples;64;0;0;Initial;Elements;1799
Reference;scale_samples;64;0;0;Initial;ActiveSamples;512
Reference;scale_samples;64;0;1;Update;Elements;1781
Reference;scale_samples;64;0;1;Update;ActiveSamples;503
Reference;scale_samples;64;0;2;Update;Elements;1767
Reference;scale_samples;64;0;2;Update;ActiveSamples;496
Reference;scale_samples;64;0;3;Update;Elements;1753
Reference;scale_samples;64;0;3;Update;ActiveSamples;489
Reference;scale_samples;64;0;4;Update;Elements;1746
Reference;scale_samples;64;0;4;Update;ActiveSamples;484
Reference;scale_samples;64;0;5;Update;Elements;1735
Reference;scale_samples;64;0;5;Update;ActiveSamples;477
Reference;scale_samples;64;0;6;Update;Elements;1730
Reference;scale_samples;64;0;6;Update;ActiveSamples;473
Reference;scale_samples;64;0;7;Update;Elements;1726
Reference;scale_samples;64;0;7;Update;ActiveSamples;469
Reference;scale_samples;64;0;8;Update;Elements;1725
Reference;scale_samples;64;0;8;Update;ActiveSamples;464
Reference;scale_samples;64;0;9;Update;Elements;1725
Reference;scale_samples;64;0;9;Update;ActiveSamples;460
Reference;scale_samples;64;0;10;Update;Elements;1725
Reference;scale_samples;64;0;10;Update;ActiveSamples;456
Reference;scale_samples;64;0;11;Update;Elements;1725
Reference;scale_samples;64;0;11;Update;ActiveSamples;455
Reference;scale_samples;128;0;0;Initialization;Time;243921400
Reference;scale_samples;128;0;0;Initialization;Memory;37953536
Reference;scale_samples;128;0;0;Load;Time;19659600
Reference;scale_samples;128;0;0;Load;Memory;38735872
Reference;scale_samples;128;0;0;Initial;Time;103004100
Reference;scale_samples;128;0;0;Initial;Memory;45699072
Reference;scale_samples;128;0;1;Update;Time;6945500
Reference;scale_samples;128;0;1;Update;Memory;47140864
Reference;scale_samples;128;0;2;Update;Time;461300
Reference;scale_samples;128;0;2;Update;Memory;45527040
Reference;scale_samples;128;0;3;Update;Time;336300
Reference;scale_samples;128;0;3;Update;Memory;45821952
Reference;scale_samples;128;0;4;Update;Time;117500
Reference;scale_samples;128;0;4;Update;Memory;46206976
Reference;scale_samples;128;0;5;Update;Time;126500
Reference;scale_samples;128;0;5;Update;Memory;46448640
Reference;scale_samples;128;0;6;Update;Time;139700
Reference;scale_samples;128;0;6;Update;Memory;47448064
Reference;scale_samples;128;0;7;Update;Time;152200
Reference;scale_samples;128;0;7;Update;Memory;47001600
Reference;scale_samples;128;0;8;Update;Time;143700
Reference;scale_samples;128;0;8;Update;Memory;47296512
Reference;scale_samples;128;0;9;Update;Time;155300
Reference;scale_samples;128;0;9;Update;Memory;47820800
Reference;scale_samples;128;0;10;Update;Time;270400
Reference;scale_samples;128;0;10;Update;Memory;48050176
Reference;scale_samples;128;0;11;Update;Time;131700
Reference;scale_samples;128;0;11;Update;Memory;49299456
Reference;scale_samples;128;0;12;Update;Time;108800
Reference;scale_samples;128;0;12;Update;Memory;46325760
Reference;scale_samples;128;0;0;Initial;Elements;3589
Reference;scale_samples;128;0;0;Initial;ActiveSamples;1024
Reference;scale_samples;128;0;1;Update;Elements;3579
Reference;scale_samples;128;0;1;Update;ActiveSamples;1019
Reference;scale_samples;128;0;2;Update;Elements;3565
Reference;scale_samples;128;0;2;Update;ActiveSamples;1012
Reference;scale_samples;128;0;3;Update;Elements;3559
Reference;scale_samples;128;0;3;Update;ActiveSamples;1009
Reference;scale_samples;128;0;4;Update;Elements;3554
Reference;scale_samples;128;0;4;Update;ActiveSamples;1006
Reference;scale_samples;128;0;5;Update;Elements;3548
Reference;scale_samples;128;0;5;Update;ActiveSamples;1002
Reference;scale_samples;128;0;6;Update;Elements;3528
Reference;scale_samples;128;0;6;Update;ActiveSamples;990
Reference;scale_samples;128;0;7;Update;Elements;3516
Reference;scale_samples;128;0;7;Update;ActiveSamples;980
Reference;scale_samples;128;0;8;Update;Elements;3507
Reference;scale_samples;128;0;8;Update;ActiveSamples;972
Reference;scale_samples;128;0;9;Update;Elements;3496
Reference;scale_samples;128;0;9;Update;ActiveSamples;962
Reference;scale_samples;128;0;10;Update;Elements;3485
Reference;scale_samples;128;0;10;Update;ActiveSamples;952
Reference;scale_samples;128;0;11;Update;Elements;3475
Reference;scale_samples;128;0;11;Update;ActiveSamples;942
Reference;scale_samples;128;0;12;Update;Elements;3472
Reference;scale_samples;128;0;12;Update;ActiveSamples;937
Reference;scale_samples;256;0;0;Initialization;Time;264480300
Reference;scale_samples;256;0;0;Initialization;Memory;37941248
Reference;scale_samples;256;0;0;Load;Time;26234900
Reference;scale_samples;256;0;0;Load;Memory;40026112
Reference;scale_samples;256;0;0;Initial;Time;275687300
Reference;scale_samples;256;0;0;Initial;Memory;47063040
Reference;scale_samples;256;0;1;Update;Time;7295300
Reference;scale_samples;256;0;1;Update;Memory;48566272
Reference;scale_samples;256;0;2;Update;Time;473800
Reference;scale_samples;256;0;2;Update;Memory;49545216
Reference;scale_samples;256;0;3;Update;Time;365400
Reference;scale_samples;256;0;3;Update;Memory;50335744
Reference;scale_samples;256;0;4;Update;Time;135300
Reference;scale_samples;256;0;4;Update;Memory;51232768
Reference;scale_samples;256;0;5;Update;Time;313300
Reference;scale_samples;256;0;5;Update;Memory;52191232
Reference;scale_samples;256;0;6;Update;Time;119700
Reference;scale_samples;256;0;6;Update;Memory;54865920
Reference;scale_samples;256;0;7;Update;Time;173600
Reference;scale_samples;256;0;7;Update;Memory;55914496
Reference;scale_samples;256;0;8;Update;Time;408000
Reference;scale_samples;256;0;8;Update;Memory;54857728
Reference;scale_samples;256;0;9;Update;Time;237500
Reference;scale_samples;256;0;9;Update;Memory;55742464
Reference;scale_samples;256;0;10;Update;Time;198600
Reference;scale_samples;256;0;10;Update;Memory;56619008
Reference;scale_samples;256;0;11;Update;Time;149300
Reference;scale_samples;256;0;11;Update;Memory;56389632
Reference;scale_samples;256;0;12;Update;Time;1040900
Reference;scale_samples;256;0;12;Update;Memory;58703872
Reference;scale_samples;256;0;13;Update;Time;312900
Reference;scale_samples;256;0;13;Update;Memory;57970688
Reference;scale_samples;256;0;0;Initial;Elements;7175
Reference;scale_samples;256;0;0;Initial;ActiveSamples;2048
Reference;scale_samples;256;0;1;Update;Elements;7169
Reference;scale_samples;256;0;1;Update;ActiveSamples;2045
Reference;scale_samples;256;0;2;Update;Elements;7165
Reference;scale_samples;256;0;2;Update;ActiveSamples;2043
Reference;scale_samples;256;0;3;Update;Elements;7147
Reference;scale_samples;256;0;3;Update;ActiveSamples;2034
Reference;scale_samples;256;0;4;Update;Elements;7137
Reference;scale_samples;256;0;4;Update;ActiveSamples;2028
Reference;scale_samples;256;0;5;Update;Elements;7117
Reference;scale_samples;256;0;5;Update;ActiveSamples;2015
Reference;scale_samples;256;0;6;Update;Elements;7107
Reference;scale_samples;256;0;6;Update;ActiveSamples;2009
Reference;scale_samples;256;0;7;Update;Elements;7091
Reference;scale_samples;256;0;7;Update;ActiveSamples;1997
Reference;scale_samples;256;0;8;Update;Elements;7078
Reference;scale_samples;256;0;8;Update;ActiveSamples;1989
Reference;scale_samples;256;0;9;Update;Elements;7058
Reference;scale_samples;256;0;9;Update;ActiveSamples;1974
